what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1654009244980
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1654009245002
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1654009246441
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1654009261780
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1654009266366
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1654009271051
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1654009279700
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1654009279764
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1654009287451
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1654009296905
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1654009296920
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1654009303437
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1654009313601
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.OpenDebugConfigurations",1654009313617
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1654009320387
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1654009321376
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1654009329304
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1654009333530
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1654009335014
opened,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1654009341147
started,bundle,org.eclipse.cdt.debug.mi.ui,6.1.1.201202111925,"org.eclipse.cdt.debug.mi.ui",1654009341850
started,bundle,org.eclipse.cdt.dsf,2.2.0.201202111925,"org.eclipse.cdt.dsf",1654009341872
started,bundle,org.eclipse.cdt.dsf.gdb,4.0.2.201202111925,"org.eclipse.cdt.dsf.gdb",1654009341873
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.gdb.ui",1654009341874
started,bundle,org.eclipse.cdt.debug.mi.core,7.1.1.201202111925,"org.eclipse.cdt.debug.mi.core",1654009341887
started,bundle,org.eclipse.cdt.dsf.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.ui",1654009341965
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1654009365231
started,bundle,org.eclipse.cdt.codan.checkers.ui,1.0.0.201202111925,"org.eclipse.cdt.codan.checkers.ui",1654009373896
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1654009374108
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1654009375583
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1654009376394
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1654009377536
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1654009379224
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1654009387351
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1654009537050
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1654009538038
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1654009553309
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1654009554178
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1654010002050
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1654010003491
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1654010004515
started,bundle,org.eclipse.cdt.mylyn.ui,3.6.0.v20110608-1400,"org.eclipse.cdt.mylyn.ui",1654010004623
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1654010004792
stopped,bundle,org.eclipse.cdt.build.crossgcc,1.0.2.201202111925,"org.eclipse.cdt.build.crossgcc",1654010005337
stopped,bundle,org.eclipse.cdt.codan.checkers.ui,1.0.0.201202111925,"org.eclipse.cdt.codan.checkers.ui",1654010005337
stopped,bundle,com.altera.debug.cdi.gdb.plugin,13.13.0.132,"com.altera.debug.cdi.gdb.plugin",1654010005337
stopped,bundle,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch",1654010006255
stopped,bundle,com.altera.sbtgui.ui,13.13.0.132,"com.altera.sbtgui.ui",1654010006255
stopped,bundle,com.altera.sbtgui.project,13.13.0.132,"com.altera.sbtgui.project",1654010006255
stopped,bundle,org.eclipse.cdt.codan.checkers,1.0.1.201202111925,"org.eclipse.cdt.codan.checkers",1654010006255
stopped,bundle,org.eclipse.cdt.codan.ui.cxx,2.0.0.201202111925,"org.eclipse.cdt.codan.ui.cxx",1654010006255
stopped,bundle,org.eclipse.cdt.codan.core.cxx,1.0.0.201202111925,"org.eclipse.cdt.codan.core.cxx",1654010006255
stopped,bundle,org.eclipse.cdt.launch.remote,2.3.0.201202111925,"org.eclipse.cdt.launch.remote",1654010006265
stopped,bundle,org.eclipse.cdt.debug.mi.ui,6.1.1.201202111925,"org.eclipse.cdt.debug.mi.ui",1654010006265
stopped,bundle,org.eclipse.cdt.debug.mi.core,7.1.1.201202111925,"org.eclipse.cdt.debug.mi.core",1654010006265
activated,perspective,com.altera.sbtgui.ui,,"com.altera.sbtgui.ui.cPerspective",1654014269704
started,bundle,org.eclipse.osgi,3.7.2.v20120110-1415,"org.eclipse.osgi",1654014269705
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20110815-1438,"org.eclipse.equinox.simpleconfigurator",1654014269706
started,bundle,com.ibm.icu,4.4.2.v20110823,"com.ibm.icu",1654014269706
started,bundle,org.eclipse.cdt.codan.checkers,1.0.1.201202111925,"org.eclipse.cdt.codan.checkers",1654014269707
started,bundle,org.eclipse.cdt.codan.core,2.0.0.201202111925,"org.eclipse.cdt.codan.core",1654014269708
started,bundle,org.eclipse.cdt.codan.core.cxx,1.0.0.201202111925,"org.eclipse.cdt.codan.core.cxx",1654014269708
started,bundle,org.eclipse.cdt.codan.ui.cxx,2.0.0.201202111925,"org.eclipse.cdt.codan.ui.cxx",1654014269709
started,bundle,org.eclipse.cdt.core,5.3.2.201202111925,"org.eclipse.cdt.core",1654014269709
started,bundle,org.eclipse.cdt.debug.core,7.1.0.201202111925,"org.eclipse.cdt.debug.core",1654014269710
started,bundle,org.eclipse.cdt.make.core,7.1.2.201202111925,"org.eclipse.cdt.make.core",1654014269711
started,bundle,org.eclipse.cdt.make.ui,7.1.2.201202111925,"org.eclipse.cdt.make.ui",1654014269712
started,bundle,org.eclipse.cdt.managedbuilder.core,8.0.2.201202111925,"org.eclipse.cdt.managedbuilder.core",1654014269713
